House,Time,TV,Agg,hour,half_hour,quarter_hour,hour_float,TV_min,TV_max,max_consumption,half_consumption_power,on_threshold,on,Agg_diff,switched_on_tv
3,575.0,64.133,97.214,9,19,38,9.583333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.9440000000000168,0
3,576.0,66.402,96.069,9,19,38,9.6,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.144999999999996,0
3,577.0,65.46000000000001,95.728,9,19,38,9.616666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.3410000000000082,0
3,578.0,65.949,162.73999999999995,9,19,38,9.633333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,67.01199999999996,1
3,579.0,67.13600000000001,154.582,9,19,38,9.65,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-8.157999999999959,0
3,580.0,64.84100000000001,151.77599999999995,9,19,38,9.666666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.80600000000004,0
3,581.0,65.467,158.687,9,19,38,9.683333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,6.911000000000058,0
3,582.0,64.309,158.58100000000005,9,19,38,9.7,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.10599999999996612,0
3,583.0,63.238,153.718,9,19,38,9.716666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-4.863000000000056,0
3,584.0,65.669,156.78300000000004,9,19,38,9.733333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.0650000000000546,0
3,585.0,67.303,158.64599999999996,9,19,39,9.75,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.8629999999999143,0
3,586.0,63.325,153.89700000000005,9,19,39,9.766666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-4.74899999999991,0
3,587.0,65.906,162.92600000000002,9,19,39,9.783333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,9.028999999999968,0
3,588.0,64.863,156.866,9,19,39,9.8,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-6.060000000000002,0
3,589.0,61.147,95.834,9,19,39,9.816666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-61.03200000000001,-1
3,590.0,64.328,94.611,9,19,39,9.833333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.222999999999999,0
3,591.0,62.093,92.42600000000002,9,19,39,9.85,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.184999999999988,0
3,592.0,65.889,95.72399999999999,9,19,39,9.866666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.2979999999999734,0
3,593.0,61.927,96.15500000000002,9,19,39,9.883333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.4310000000000258,0
3,594.0,66.806,100.22100000000002,9,19,39,9.9,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,4.0660000000000025,0
3,595.0,66.791,99.427,9,19,39,9.916666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.7940000000000111,0
3,596.0,65.104,96.431,9,19,39,9.933333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.9960000000000093,0
3,597.0,65.315,94.107,9,19,39,9.95,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.323999999999998,0
3,598.0,64.135,95.292,9,19,39,9.966666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.1850000000000023,0
3,599.0,65.28699999999999,93.34899999999999,9,19,39,9.983333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.943000000000012,0
3,600.0,66.181,96.16799999999999,10,20,40,10.0,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,2.8190000000000026,0
3,601.0,69.059,98.893,10,20,40,10.016666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,2.7250000000000085,0
3,602.0,66.59,96.866,10,20,40,10.033333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.027000000000001,0
3,603.0,66.096,95.574,10,20,40,10.05,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.2920000000000016,0
3,604.0,65.825,97.527,10,20,40,10.066666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.953000000000003,0
3,605.0,67.98,101.124,10,20,40,10.083333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.596999999999994,0
3,606.0,65.65,69.14399999999999,10,20,40,10.1,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-31.980000000000004,0
3,607.0,64.726,76.79,10,20,40,10.116666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,7.646000000000015,0
3,608.0,65.46900000000001,76.634,10,20,40,10.133333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.1560000000000059,0
3,609.0,67.23,81.218,10,20,40,10.15,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,4.584000000000003,0
3,610.0,68.291,80.398,10,20,40,10.166666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.8200000000000074,0
3,611.0,66.298,78.381,10,20,40,10.183333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.016999999999996,0
3,612.0,69.58,81.751,10,20,40,10.2,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,3.3700000000000045,0
3,613.0,62.391000000000005,74.752,10,20,40,10.216666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-6.999000000000009,0
3,614.0,60.227,72.19,10,20,40,10.233333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.5619999999999976,0
3,615.0,63.778999999999996,281.777,10,20,41,10.25,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,209.587,0
3,616.0,66.99,284.34,10,20,41,10.266666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,2.562999999999988,0
3,617.0,64.88600000000001,282.302,10,20,41,10.283333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.037999999999954,0
3,618.0,64.973,282.64200000000005,10,20,41,10.3,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.34000000000003183,0
3,619.0,64.339,281.137,10,20,41,10.316666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.5050000000000523,0
3,620.0,64.14,279.88100000000003,10,20,41,10.333333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.2559999999999718,0
3,621.0,64.788,279.68600000000004,10,20,41,10.35,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.19499999999999318,0
3,622.0,67.122,277.57599999999996,10,20,41,10.366666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-2.1100000000000705,0
3,623.0,66.729,279.29200000000003,10,20,41,10.383333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.716000000000065,0
3,624.0,65.48,278.397,10,20,41,10.4,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.8950000000000387,0
3,625.0,68.01899999999999,279.803,10,20,41,10.416666666666666,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.406000000000006,0
3,626.0,65.536,278.998,10,20,41,10.433333333333334,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-0.8050000000000068,0
3,627.0,69.28699999999999,281.91800000000006,10,20,41,10.45,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,2.9200000000000728,0
3,628.0,69.68,282.3540000000001,10,20,41,10.466666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,0.43600000000003547,0
3,629.0,70.764,283.811,10,20,41,10.483333333333333,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,1.45699999999988,0
3,630.0,77.354,289.348,10,21,42,10.5,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,5.537000000000035,0
3,631.0,76.145,287.998,10,21,42,10.516666666666667,0.125,118.39200000000001,118.26700000000001,59.133500000000005,59.258500000000005,1,-1.3500000000000227,0
